index,time,trend,event,reason,candle_count,open,high,low,close,swing_high,swing_low,poi_type,poi_high,poi_low,poi_activation_time,candidate_low,candidate_high,protected_low,protected_high,bullish_count,bearish_count,depth_ratio,depth_valid
0,2022-01-25 04:00:00,BEARISH,start,,,,,,,,,,,,,,,,,,,,
45,2022-01-25 04:00:00,BEARISH,pullback_check_bearish,,,1.12976,1.13003,1.12664,1.12677,,,,,,,1.12664,,,1.14827,0.0,,0.15672676837725533,False
46,2022-01-25 08:00:00,BEARISH,pullback_check_bearish,,,1.12678,1.12869,1.12631,1.12842,,,,,,,1.12631,,,1.14827,0.0,,0.10837887067395496,False
47,2022-01-25 12:00:00,BEARISH,pullback_check_bearish,,,1.12842,1.13069,1.1282,1.13042,,,,,,,1.12631,,,1.14827,1.0,,0.1994535519125708,False
48,2022-01-25 16:00:00,BEARISH,pullback_check_bearish,,,1.13043,1.13058,1.12942,1.13031,,,,,,,1.12631,,,1.14827,1.0,,0.19444444444444445,False
49,2022-01-25 20:00:00,BEARISH,pullback_check_bearish,,,1.13033,1.13107,1.13006,1.13016,,,,,,,1.12631,,,1.14827,1.0,,0.21675774134790993,False
50,2022-01-26 00:00:00,BEARISH,pullback_check_bearish,,,1.13016,1.13052,1.12842,1.1288,,,,,,,1.12631,,,1.14827,1.0,,0.1917122040072883,False
51,2022-01-26 04:00:00,BEARISH,pullback_check_bearish,,,1.12879,1.12914,1.12751,1.12762,,,,,,,1.12631,,,1.14827,1.0,,0.12887067395264631,False
52,2022-01-26 08:00:00,BEARISH,pullback_check_bearish,,,1.12765,1.12963,1.12715,1.12789,,,,,,,1.12631,,,1.14827,2.0,,0.15118397085610166,False
53,2022-01-26 12:00:00,BEARISH,pullback_check_bearish,,,1.12788,1.13006,1.12354,1.12401,,,,,,,1.12354,,,1.14827,0.0,,0.2636473918317874,False
54,2022-01-26 16:00:00,BEARISH,pullback_check_bearish,,,1.12403,1.1244,1.1232,1.12338,,,,,,,1.1232,,,1.14827,0.0,,0.047865975269249836,False
55,2022-01-26 20:00:00,BEARISH,pullback_check_bearish,,,1.12339,1.12344,1.12185,1.12222,,,,,,,1.12185,,,1.14827,0.0,,0.060181680545041145,False
56,2022-01-27 00:00:00,BEARISH,pullback_check_bearish,,,1.12221,1.12221,1.11931,1.1201,,,,,,,1.11931,,,1.14827,0.0,,0.10013812154695839,False
57,2022-01-27 04:00:00,BEARISH,pullback_check_bearish,,,1.12013,1.12037,1.11521,1.11573,,,,,,,1.11521,,,1.14827,0.0,,0.15607985480943962,False
58,2022-01-27 08:00:00,BEARISH,pullback_check_bearish,,,1.11572,1.11621,1.11312,1.11423,,,,,,,1.11312,,,1.14827,0.0,,0.08790896159316738,False
59,2022-01-27 12:00:00,BEARISH,pullback_check_bearish,,,1.11425,1.11514,1.11357,1.11426,,,,,,,1.11312,,,1.14827,1.0,,0.05746799431009737,False
60,2022-01-27 16:00:00,BEARISH,pullback_check_bearish,,,1.11426,1.11473,1.11379,1.11468,,,,,,,1.11312,,,1.14827,2.0,,0.0458036984352745,False
61,2022-01-27 20:00:00,BEARISH,pullback_check_bearish,,,1.11465,1.11558,1.1143,1.1152,,,,,,,1.11312,,,1.14827,3.0,,0.0699857752489309,False
62,2022-01-28 00:00:00,BEARISH,pullback_check_bearish,,,1.11519,1.11549,1.11213,1.1136,,,,,,,1.11213,,,1.14827,0.0,,0.09297177642501507,False
63,2022-01-28 04:00:00,BEARISH,pullback_check_bearish,,,1.11361,1.11437,1.11253,1.11268,,,,,,,1.11213,,,1.14827,0.0,,0.06198118428334338,False
64,2022-01-28 08:00:00,BEARISH,pullback_check_bearish,,,1.11268,1.11735,1.11268,1.11605,,,,,,,1.11213,,,1.14827,1.0,,0.14443829551743292,False
65,2022-01-28 12:00:00,BEARISH,pullback_check_bearish,,,1.11605,1.11633,1.1141,1.11502,,,,,,,1.11213,,,1.14827,1.0,,0.1162147205312673,False
66,2022-01-28 16:00:00,BEARISH,pullback_check_bearish,,,1.11502,1.11513,1.11449,1.1145,,,,,,,1.11213,,,1.14827,1.0,,0.0830105146651883,False
67,2022-01-30 16:00:00,BEARISH,pullback_check_bearish,,,1.11422,1.11542,1.1138,1.1145,,,,,,,1.11213,,,1.14827,2.0,,0.09103486441616021,False
68,2022-01-30 20:00:00,BEARISH,pullback_check_bearish,,,1.11452,1.11636,1.11445,1.11616,,,,,,,1.11213,,,1.14827,3.0,,0.1170448256779185,False
69,2022-01-31 00:00:00,BEARISH,pullback_check_bearish,,,1.11615,1.11823,1.11605,1.11705,,,,,,,1.11213,,,1.14827,4.0,,0.1687880464858888,False
70,2022-01-31 04:00:00,BEARISH,pullback_check_bearish,,,1.11706,1.11819,1.11462,1.11563,,,,,,,1.11213,,,1.14827,4.0,,0.16768123962368514,False
71,2022-01-31 08:00:00,BEARISH,pullback_check_bearish,,,1.11562,1.12178,1.11525,1.12101,,,,,,,1.11213,,,1.14827,5.0,,0.26701715550636357,False
72,2022-01-31 12:00:00,BEARISH,pullback_check_bearish,,,1.12101,1.12478,1.12093,1.1235,,,,,,,1.11213,,,1.14827,6.0,,0.35002767017155184,False
73,2022-01-31 16:00:00,BEARISH,pullback_check_bearish,,,1.12349,1.12353,1.12209,1.12238,,,,,,,1.11213,,,1.14827,6.0,,0.3154399557277229,False
74,2022-01-31 20:00:00,BEARISH,pullback_check_bearish,,,1.12238,1.12447,1.12214,1.1243,,,,,,,1.11213,,,1.14827,7.0,,0.34144991698948735,False
75,2022-02-01 00:00:00,BEARISH,pullback_check_bearish,,,1.1243,1.12694,1.12342,1.12572,,,,,,,1.11213,,,1.14827,8.0,,0.40979524073049406,False
76,2022-02-01 04:00:00,BEARISH,pullback_check_bearish,,,1.12572,1.12786,1.12536,1.12612,,,,,,,1.11213,,,1.14827,9.0,,0.43525179856115365,False
77,2022-02-01 08:00:00,BEARISH,pullback_check_bearish,,,1.12615,1.12743,1.12342,1.1239,,,,,,,1.11213,,,1.14827,9.0,,0.42335362479247196,False
78,2022-02-01 12:00:00,BEARISH,pullback_check_bearish,,,1.12391,1.12705,1.12359,1.12686,,,,,,,1.11213,,,1.14827,10.0,,0.4128389596015526,False
78,2022-02-01 12:00:00,BEARISH,pullback_confirmed,confirmed_by_candle_count (10),10.0,1.12391,1.12705,1.12359,1.12686,1.14827,1.11213,,,,,,,,,,,,
