timestamp,open,high,low,close,volume
2022-11-30 16:55:00,1.04055,1.04087,1.04041,1.04041,0
2022-11-30 17:00:00,1.04041,1.04068,1.04029,1.04068,0
2022-11-30 17:05:00,1.04068,1.04068,1.04034,1.04034,0
2022-11-30 17:10:00,1.0405,1.04055,1.04014,1.04022,0
2022-11-30 17:15:00,1.04016,1.04033,1.04004,1.04022,0
2022-11-30 17:20:00,1.04018,1.04038,1.04012,1.04038,0
2022-11-30 17:25:00,1.04039,1.0408,1.04038,1.04072,0
2022-11-30 17:30:00,1.04073,1.0408,1.0407,1.04075,0
2022-11-30 17:35:00,1.04076,1.04085,1.04064,1.04066,0
2022-11-30 17:40:00,1.04066,1.04078,1.04063,1.04065,0
2022-11-30 17:45:00,1.04075,1.04083,1.04045,1.04057,0
2022-11-30 17:50:00,1.04057,1.04077,1.04043,1.04048,0
2022-11-30 17:55:00,1.04043,1.04105,1.04038,1.04089,0
2022-11-30 18:00:00,1.04087,1.04188,1.04087,1.04176,0
2022-11-30 18:05:00,1.04181,1.04191,1.04156,1.04157,0
2022-11-30 18:10:00,1.04156,1.04186,1.04113,1.04177,0
2022-11-30 18:15:00,1.04179,1.04194,1.04139,1.04151,0
2022-11-30 18:20:00,1.04152,1.04153,1.04119,1.04122,0
2022-11-30 18:25:00,1.04122,1.04145,1.04103,1.0412,0
2022-11-30 18:30:00,1.04121,1.04154,1.04121,1.04149,0
2022-11-30 18:35:00,1.04149,1.04192,1.04147,1.04181,0
2022-11-30 18:40:00,1.04179,1.04299,1.04178,1.04259,0
2022-11-30 18:45:00,1.0426,1.04272,1.04233,1.0426,0
2022-11-30 18:50:00,1.04261,1.0427,1.04235,1.04248,0
2022-11-30 18:55:00,1.04248,1.04254,1.04225,1.04229,0
2022-11-30 19:00:00,1.04228,1.04299,1.04226,1.04259,0
2022-11-30 19:05:00,1.04261,1.04261,1.0423,1.04232,0
2022-11-30 19:10:00,1.04231,1.04279,1.04216,1.04265,0
2022-11-30 19:15:00,1.04265,1.04314,1.04242,1.04314,0
2022-11-30 19:20:00,1.04314,1.04323,1.0425,1.04265,0
2022-11-30 19:25:00,1.04263,1.04322,1.04263,1.04287,0
2022-11-30 19:30:00,1.04288,1.04307,1.04264,1.04302,0
2022-11-30 19:35:00,1.04301,1.04322,1.04296,1.04309,0
2022-11-30 19:40:00,1.04309,1.04326,1.04302,1.04317,0
2022-11-30 19:45:00,1.04319,1.04367,1.04317,1.04319,0
2022-11-30 19:50:00,1.04321,1.04357,1.04301,1.04313,0
2022-11-30 19:55:00,1.04314,1.04392,1.04301,1.04379,0
2022-11-30 20:00:00,1.04379,1.04434,1.04343,1.04408,0
2022-11-30 20:05:00,1.04407,1.04477,1.04396,1.04439,0
2022-11-30 20:10:00,1.04437,1.0445,1.04391,1.04407,0
2022-11-30 20:15:00,1.04408,1.04414,1.04324,1.04332,0
2022-11-30 20:20:00,1.04334,1.04371,1.04319,1.04322,0
2022-11-30 20:25:00,1.04323,1.04337,1.04285,1.04333,0
2022-11-30 20:30:00,1.04333,1.04353,1.04297,1.04297,0
2022-11-30 20:35:00,1.04296,1.04314,1.04251,1.04266,0
2022-11-30 20:40:00,1.04266,1.04291,1.04245,1.0426,0
2022-11-30 20:45:00,1.04261,1.04318,1.04251,1.04315,0
2022-11-30 20:50:00,1.04316,1.04316,1.0426,1.04287,0
2022-11-30 20:55:00,1.04287,1.04297,1.04251,1.04259,0
