time,open,high,low,close
2023-01-01 17:04:00,1.0697,1.07066,1.06788,1.0704
2023-01-01 20:00:00,1.07041,1.07087,1.06862,1.06993
2023-01-02 00:00:00,1.06994,1.06997,1.06632,1.0679
2023-01-02 04:00:00,1.06791,1.06994,1.06743,1.06822
2023-01-02 08:00:00,1.06822,1.06863,1.0651,1.06545
2023-01-02 12:00:00,1.06545,1.06697,1.06499,1.0663
2023-01-02 16:00:00,1.0663,1.06833,1.06499,1.06704
2023-01-02 20:00:00,1.06703,1.06801,1.06503,1.06672
2023-01-03 00:00:00,1.06673,1.06706,1.05506,1.05517
2023-01-03 04:00:00,1.05518,1.05609,1.05194,1.05355
2023-01-03 08:00:00,1.05354,1.05973,1.05303,1.05579
2023-01-03 12:00:00,1.05579,1.05688,1.05401,1.05514
2023-01-03 16:00:00,1.05514,1.0561,1.05403,1.05579
2023-01-03 20:00:00,1.0558,1.05743,1.05569,1.05727
2023-01-04 00:00:00,1.05726,1.06354,1.05594,1.06157
2023-01-04 04:00:00,1.06157,1.06299,1.05986,1.06071
2023-01-04 08:00:00,1.06072,1.06282,1.0581,1.06187
2023-01-04 12:00:00,1.0619,1.06198,1.0585,1.06032
2023-01-04 16:00:00,1.06035,1.06311,1.05997,1.06289
2023-01-04 20:00:00,1.06291,1.06314,1.06033,1.0604
2023-01-05 00:00:00,1.06041,1.06278,1.05901,1.06199
2023-01-05 04:00:00,1.062,1.06288,1.0598,1.05993
2023-01-05 08:00:00,1.05994,1.06083,1.05148,1.05209
2023-01-05 12:00:00,1.05208,1.0543,1.05184,1.05199
2023-01-05 16:00:00,1.05197,1.05314,1.05155,1.05292
2023-01-05 20:00:00,1.05294,1.05363,1.05224,1.05243
2023-01-06 00:00:00,1.05245,1.05309,1.05069,1.05183
2023-01-06 04:00:00,1.05182,1.05193,1.04832,1.04945
2023-01-06 08:00:00,1.04944,1.06223,1.04823,1.06185
2023-01-06 12:00:00,1.06185,1.0648,1.06163,1.06462
2023-01-06 16:00:00,1.0646,1.0646,1.06413,1.06413
2023-01-08 17:00:00,1.06406,1.06676,1.06381,1.06611
2023-01-08 20:00:00,1.06613,1.06782,1.06551,1.06764
2023-01-09 00:00:00,1.06764,1.06995,1.06679,1.06901
2023-01-09 04:00:00,1.069,1.06936,1.066,1.06886
2023-01-09 08:00:00,1.06886,1.07605,1.06851,1.0758
2023-01-09 12:00:00,1.07579,1.07599,1.07305,1.07309
2023-01-09 16:00:00,1.07309,1.07385,1.07205,1.07273
2023-01-09 20:00:00,1.07273,1.07424,1.07212,1.07306
2023-01-10 00:00:00,1.07304,1.07472,1.07219,1.07382
2023-01-10 04:00:00,1.07383,1.07516,1.07154,1.07191
2023-01-10 08:00:00,1.07191,1.07592,1.07119,1.07362
2023-01-10 12:00:00,1.0736,1.0744,1.07276,1.07358
2023-01-10 16:00:00,1.07359,1.07453,1.07305,1.07449
2023-01-10 20:00:00,1.0745,1.0745,1.07255,1.07384
2023-01-11 00:00:00,1.07383,1.07573,1.07286,1.07295
2023-01-11 04:00:00,1.07294,1.0755,1.07254,1.07403
2023-01-11 08:00:00,1.07403,1.07762,1.07374,1.07387
2023-01-11 12:00:00,1.07388,1.0768,1.07348,1.07537
